proverb,meaning,used,index
"als je geschoren wordt, moet je stilzitten","als er scherpe kritiek op je is (je wordt geschoren), kun je beter rustig wachten tot het voorbij is, in plaats van erop in te gaan",,2309
een blauwtje lopen,afgewezen worden (in de liefde),,2310
ik snap er geen biet van,ik snap er niets van,,2311
ergens gezien zijn als een rotte kool bij een groenvrouw,er niet graag gezien zijn,,2312
Het oog van de meester maakt het paard vet. ,"Je moet als baas zelf toezicht houden, want anders wordt je bedrijf verwaarloosd",,2313
in gebreke blijven,zijn taak (belofte) niet uitvoeren,,2314
het niet begrepen hebben op,er geen zin in hebben - liever niet hebben,,2315
te/van pas komen,iets goed kunnen gebruiken,,2316
"Je moet een paard niet doodknuppelen, voordat je thuis bent. ",Te veel haast kan wel eens vertraging opleveren,,2317
op zijn Pegasus stijgen,een gedicht schrijven,,2318
geld over de balk gooien (of smijten),"geld verspillen, zonder nadenken uitgeven",,2319
iemand op straat zetten,iemand ontslaan,,2320
de ene kraai pikt de andere de ogen niet uit,ze benadelen elkaar niet,,2321
zich een strop om de hals halen,zich in de problemen werken,,2322
iemand achter de bank schuiven,iemand minachtend behandelen,,2323
iemands oogappel/ooilam zijn,iemands lieveling zijn (vaak kind),,2324
als een paal boven water staan.,aan geen twijfel onderhevig zijn.,,2325
we gaan geen ijsje eten,alles mislukt,,2326
Zijn licht ergens op laten schijnen,Iets duidelijk maken,,2327
met alle winden draaien,altijd iedereen gelijk geven,,2328
arbeid adelt,van hard te werken word je een nobeler/beter mens,,2329
"wie voor het oortje geboren is, zal tot de stuiver niet geraken","wie in een lage sociale klasse geboren is, zal niet in een hogere sociale klasse terechtkomen",,2330
van twee walletjes eten,van verschillende kanten voordeel behalen (negatief),,2331
lekker is maar één vinger lang,oppervlakkige genoegens geven ook maar een betrekkelijke voldoening. / leuke dingen duren meestal maar erg kort,,2332
de Breeveertien opgaan,verkeerde dingen doen,,2333
er koksgast van blijven,"er niets van krijgen , er geen vooruitgang mee maken",,2334
aan een stuk door,ononderbroken,,2335
de kastanjes voor iemand uit het vuur halen,voor iemand anders het gevaarlijke werk of een lastig klusje doen,,2336
iemand om een boodschap sturen,iemand een opdracht laten uitvoeren,,2337
andermans veren,iets van een ander (andermans eer),,2338
men is nooit te oud om te leren,men kan altijd nog bijleren,,2339
goed voorbeeld doet goed volgen,"als je zelf op de goede manier handelt, nemen anderen dat vanzelf over",,2340
onder zeil gaan,"gaan rusten of slapen, vertrekken of weggaan",,2341
"Als je veel eet, dan ben je lelijk als je dood bent.",Waarschuwing tegen te veel eten.,,2342
met het verstand van een garnaal,"erg weinig verstand, erg dom",,2343
in verzekerde bewaring nemen,opsluiten (in gevangenis),,2344
zijn ei kwijt kunnen,"de gelegenheid hebben zich te uiten; of, zijn creativiteit kunnen gebruiken",,2345
"wanneer twee honden vechten om een been, loopt de derde ermee heen","als twee strijdende personen of partijen zich richten op elkaar, kan een ander daarvan profiteren door zich datgene toe te eigenen waar om gestreden wordt",,2346
alle kusten bezoeken,met allerlei slecht volk omgaan,,2347
aan handen en voeten gebonden zijn,geen kant op kunnen,,2348
de hakken laten zien,zich uit de voeten maken.,,2349
op de man af,"direct, zonder omwegen",,2350
de kat heeft het gedaan,niemand is de schuldige,,2351
niet door mensenhanden gebouwd,door God of natuur tot stand gebracht,,2352
met zijn ziel onder de arm lopen,zich vervelen,,2353
in een hap en een snap,spoedig (zonder respect of plichtplegingen),,2354
een gek kan meer vragen dan honderd wijzen kunnen beantwoorden,op gekke of onverwachte vragen weet men meestal het antwoord niet,,2355
uit de lucht grijpen,iets zonder enige grond vertellen,,2356
iemand de loef afsteken,ergens beter in zijn dan iemand,,2357
onder iemands duiven schieten,klanten bij een ander overhalen om klant te worden bij jou,,2358
het is naar de maan.,het is kapot.,,2359
boerenverstand,zonder scholing toch slim zijn,,2360
iemand iets voor de voeten gooien,iemand met iets confronteren,,2361
tussen twee stoelen in de as vallen,er bekaaid vanaf komen,,2362
"als de wijn is in de man, is de wijsheid in de kan",drank verdringt gezond verstand,,2363
lege vaten klinken het holst,"zij die er niets over weten, roepen het hardst",,2364
op de koffie komen,zonder afspraak ergens heen gaan,,2365
de kans schoon zien,van de gelegenheid gebruik maken,,2366
Uit de toon vallen,Anders zijn dan de anderen,,2367
gods wegen zijn ondoorgrondelijk.,er gebeuren soms rare dingen.,,2368
iemand in zijn eigen vet gaar laten smoren,iemand die iets misdaan heeft aan zijn lot overlaten,,2369
zijn ogen vertrouwen,geloven wat men ziet,,2370
te stade komen,goed uitkomen,,2371
Met stille trom vertrekken,Onopgemerkt vertrekken,,2372
met iemand in zee gaan.,met iemand een samenwerking beginnen.,,2373
fietsen zijn,"weg zijn, ervandoor zijn",,2374
hartzeer van iets hebben,er geestelijk onder lijden,,2375
de ossen achter de ploeg spannen,de zaak verkeerd aanpakken,,2376
de oren scherpen,goed luisteren,,2377
het kaf van het koren scheiden,het waardevolle van het waardeloze scheiden,,2378
een heilig huisje,een herberg - een (voor de betrokkene) onaantastbare waarheid,,2379
"wie met pek omgaat, wordt ermee besmet",wie met slechte mensen omgaat neemt de gewoontes van die mensen over,,2380
dat is kaviaar voor hen,dat is onbereikbaar voor hen,,2381
lachen als een boer die een hoefijzer vindt,tevreden lachen,,2382
Op de magerste paarden bijten de dazen. ,Arme mensen hebben vaak pech,,2383
in de ijskast zetten,(tijdelijk) niet uitvoeren,,2384
een bril op de neus krijgen,moeten gehoorzamen aan iemand,,2385
een vreemde eend in de bijt,een vreemd exemplaar in de groep. (Een bijt is een opening in het ijs),,2386
de hakken laten zien,zich uit de voeten maken,,2387
een lichtje opgaan bij iemand,iets wordt duidelijk en helder,,2388
het hachje erbij inschieten,zelf sterven aan de gevolgen van een actie,,2389
een slecht figuur slaan,een slechte indruk maken,,2390
kort door de bocht,"voorbarig, nuanceringen negerend. Voorbeeld: `De bewering dat fractiediscipline de democratie om zeep helpt is misschien wat te kort door de bocht.`",,2391
dat is het begin van het einde,dat is het begin van iets dat uiteindelijk verkeerd zal aflopen,,2392
uit de school klappen,iets vertellen wat men niet mag zeggen,,2393
brede schouders hebben,veel kunnen verdragen,,2394
hollen of stilstaan,van het ene uiterste in het andere vallen,,2395
"zo vader, zo zoon (of: Zo moeder, zo dochter).",kinderen erven de eigenschappen van hun ouders,,2396
branden als een (tiere)lier,een heel erg hevige brand,,2397
in iemands vel steken,het lichamelijke lot van iemand anders ondervinden,,2398
over zijn nek gaan,"overgeven, braken, iets vies vinden",,2399
het hoogste lied zingen,baas zijn,,2400
lest best,het beste van alles komt op het einde,,2401
hij weet een lucifer in drieën te kloven,hij is erg zuinig,,2402
over iemand een boekje opendoen,"informatie over iemand geven, waarvan diegene niet wil dat het bekend wordt",,2403
"wie niet horen wil, moet voelen","wie niet luistert naar wijze raad, of wie ongehoorzaam is, zal de gevolgen wel aan den lijve ondervinden",,2404
iets van de hand doen,iets weggeven of verkopen,,2405
uit de as herrijzen,opnieuw opbouwen na een brand,,2406
de snoeren zijn mij in lieflijke plaatsen gevallen,ik ben op goede plaatsen beland,,2407
Dat is de goden verzoeken,te grote risico's nemen,,2408
waar niets is verliest de keizer zijn recht,"van wie niets heeft, kan men niets vorderen",,2409
het kind moet (toch) een naam hebben,"passend of niet, je moet het kunnen noemen",,2410
een luchtje happen,even buiten gaan wandelen,,2411
op zijn paasbest zijn,op zijn best gekleed en goed verzorgd zijn,,2412
kolen naar Newcastle dragen.,nutteloos werk verrichten.,,2413
pro saldo,ter afsluiting rekening,,2414
door een donkere bril,op een pessimistische manier,,2415
omstaan leren,leren schikken naat de wensen en bevelen van een ander,,2416
in de wolken verheffen,uitbundig prijzen,,2417
onder één hoedje spelen,samen iets oneerlijks doen,,2418
in de luwte vallen,op minder luide toon verderpraten,,2419
in een mum van tijd,in heel korte tijd,,2420
ergens een melkkoetje aan hebben,er veel voordeel uit kunnen halen,,2421
het is de toon die de muziek maakt,het gaat om de manier waarop iets gezegd wordt,,2422
het zal zo n vaart niet lopen,het zal wel meevallen,,2423
van koper blijf je proper en van ijzer word je niks wijzer,"koper is veel waard, ijzer niet",,2424
met dubbel krijt schrijven,te veel aanrekenen,,2425
het is gedaan met kaatje,het is afgelopen,,2426
aan de hand doen,bezorgen,,2427
op een papieren zoldertje lopen,grote risico`s nemen,,2428
zijn eigen graf graven/delven,het voor zichzelf bederven,,2429
hij weet van voren niet dat hij van achteren leeft,hij is erg dom,,2430
"Eten dat je zweet en werken dat je het koud krijgt, dat zijn de waren.",Slecht personeel. Uit de tijd dat meiden en knechts bij de boer in de kost waren.,,2431
de wind in de zeilen hebben,voorspoed hebben,,2432
binnen de kortste keren,bijna onmiddellijk,,2433
magere Hein,de dood,,2434
in hetzelfde gasthuis ziek liggen,aan dezelfde kwaal lijden,,2435
zoveel geven om iets als een boer om een kers,er totaal niets om geven,,2436
op elkaar lijken als twee druppels water,precies op elkaar lijken,,2437
wie eerst komt eerst maalt,"wie eerst komt, krijgt het beste",,2438
de vinger aan de pols houden,in de gaten houden of alles goed gaat,,2439
iemand van bakboord naar stuurboord zenden,steeds niet geholpen worden maar wel doorverwezen worden naar anderen,,2440
in zijn nopjes zijn,erg blij ergens mee zijn,,2441
het is bar en boos,het is heel erg; het is heel slecht,,2442
een roepende in de woestijn zijn,niemand die naar je wil luisteren (bij raad/waarschuwingen),,2443
uit de grond stampen,erg snel iets opbouwen,,2444
hij heeft een paling (snoek) gevangen,iemand die per ongeluk in het water is gevallen,,2445
iemand scheef aankijken,aan iemand zijn afkeuring laten blijken,,2446
steeds verder van huis raken,verder van je doel afraken,,2447
het moeras insturen,de verkeerde richting op sturen,,2448
gas terugnemen,het iets rustiger aan gaan doen,,2449
Wie niet werkt zal niet eten.,Werken is noodzakelijk om te kunnen leven.,,2450
een hard hoofd in iets hebben,er geen oplossing in zien,,2451
niets afslaan behalve vliegen,alles aannemen,,2452
zich als een vis in het water voelen,zich helemaal op zijn plaats voelen,,2453
met blindheid geslagen zijn,"verblind zijn, volkomen gebrek hebben aan inzicht",,2454
een aangeklede aap,een bespottelijk iemand,,2455
het hart hoog dragen,erg trots zijn,,2456
de mond roeren,"van zich laten horen, spreken",,2457
hardlopers zijn doodlopers,"wie te snel begint, haalt misschien het einde niet",,2458
Zij gaan als zwijnen aan de bak.,Zonder te bidden gaan eten.,,2459
de schouders eronder zetten,zich voor iets inspannen,,2460
iemand de mond snoeren,iemand verbieden iets te zeggen / tot zwijgen brengen,,2461
geen hoogvlieger zijn,weinig talent hebben,,2462
iets uit de doeken doen,iets uitleggen,,2463
iemand een luis in de pels zetten,iemand last bezorgen,,2464
een naald in een hooiberg/hooimijt zoeken,iets zoeken dat bijna niet te vinden is,,2465
averechts uitpakken,helemaal verkeerd aflopen. Tegengesteld uitpakken,,2466
dat is schering en inslag,dat komt bijzonder vaak voor [onderdelen van een weefgetouw],,2467
aan gene zijde van het graf,na de dood,,2468
een achterdeurtje openhouden,een redmiddel in nood houden,,2469
ars longo vita brevis,de kunst blijft lang en het leven is kort,,2470
iets aan zijn laars lappen,zich ergens niets van aantrekken,,2471
ergens zijn buik van vol hebben,ergens genoeg van hebben,,2472
onder de (groene) zoden stoppen.,iemand begraven.,,2473
dat is nog van voor de zondvloed,dat is al heel oud,,2474
de melk optrekken.,"je woord terugnemen, je belofte niet helemaal vervullen.",,2475
iemand op zijn nummer zetten,"iemand zeer nadrukkelijk op zijn fouten wijzen, op een wijze die voor die persoon beschamend is.",,2476
twee ruilen een huilen,bij het ruilen is de een altijd beter af dan de ander,,2477
hora ruit,de tijd vliet snel,,2478
er zijn geen rozen zonder doornen,bij elk geluk is er ook verdriet,,2479
men zou hem een aalmoes geven,hij ziet er armoedig uit,,2480
iemand op zijn nummer zetten,"iemand zeer nadrukkelijk op zijn fouten wijzen, op een wijze die voor die persoon beschamend is",,2481
de mug uitzuigen en de kameel doorzwelgen,de onschuldige straffen en zelf schaamteloos zondigen,,2482
een loden pijp hebben,een hete vloeistof snel kunnen opdrinken,,2483
iemand geen strobreed in de weg leggen,niets doen om iemand tegen te houden of te belemmeren,,2484
iets aandurven,niet bang zijn om iets te doen,,2485
het is alle dagen visdag maar geen vangdag,als de buit of vangst tegen valt,,2486
vragen staat/is vrij.,iedereen heeft de gelegenheid om vragen te stellen,,2487
door het kluisgat aan boord komen,de lagere rangen doorlopen alvorens bevelhebber te worden,,2488
"stel niet uit tot morgen, wat je vandaag doen kunt.",doe de dingen vandaag als het mogelijk is.,,2489
in de papieren lopen,"duur uitkomen, veel geld kosten",,2490
sijmen betaalt.,diegene die het minste verdient draagt de kosten,,2491
De hete aardappel doorspelen,Iemand anders de vervelende klus laten opknappen,,2492
het spits afbijten,ermee beginnen,,2493
die perzik smaakt naar meer,dat is gunstig - nog van dat!,,2494
bij het scheiden van de markt leert men de kooplui kennen,iemands ware karakter blijkt pas als het erop aankomt,,2495
zo rot als een mispel,totaal rot (bedorven),,2496
alle duivels uit de hel vloeken,heftig vloeken,,2497
het hoofd boven water houden,"financieel rondkomen, juist genoeg geld hebben om te kunnen leven",,2498
in de aanslag brengen,klaar maken,,2499
het scheelde maar een haartje,dat ging maar net goed,,2500
iets voor de boeg hebben,nog werk te doen hebben. / Nog iets mee moeten maken,,2501
zich tussen hangen en wurgen bevinden,zich in gevaarlijke en moeilijke omstandigheden bevinden,,2502
men moet geen struif om een ei bederven,men moet het geheel niet afkeuren voor één gebrek,,2503
van een mooi bord kun je niet eten,aan uiterlijk alleen heb je niets,,2504
de paal door de oven steken,"bankroet gaan, zich te gronde richten",,2505
met het ongewapend oog,met het blote oog (zonder hulpmiddelen),,2506
op eigen houtje doen,iets zelfstandig (eventueel op eigen initiatief) ondernemen,,2507
iemand de woorden uit de mond halen,voor een ander spreken,,2508
ergens geen pap van gegeten hebben,er weinig over weten,,2509
gapen als een oester die in de warmte komt,met de wond wijd open geeuwen,,2510
iedereen wat van de stokvis,eerlijk delen,,2511
Oude paarden jaagt men achter de schans. ,Oude werknemers worden vaak afgedankt en met vervroegd pensioen gestuurd,,2512
naar de maan lopen,het wel mogen vergeten / weg moeten gaan,,2513
zuinigheid die de wijsheid bedriegt,"door het baseren van een beslissing (bv aankoop) op basis van hoeveel iets kost, levert dit later juist extra problemen en kosten met zich mee zodat iemand duurder uit is",,2514
de kat(jes) in 't donker knijpen,kwaad doen waar niemand het ziet,,2515
een schot voor de boeg,een uitspraak of vraag als eerste aanzet tot een gesprek of discussie (eigenlijk: een waarschuwingsschot),,2516
het heilig kruis achterna geven,hopen dat iets of iemand nooit meer terugkomt,,2517
de deur platlopen,steeds weer bezoeken,,2518
